FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,DATE_CREATED,DATE_EDITED
1518681,Derrick Lake,Lake,WA,53,King,033,472957N,1212945W,47.4991159,-121.4958665,1125,3691,09/10/1979,05/14/2019
1518682,Derry Lake,Lake,WA,53,King,033,472646N,1214252W,47.4460052,-121.7144195,228,748,09/10/1979,05/14/2019
1518688,Devereaux Lake,Lake,WA,53,Mason,045,472421N,1225053W,47.4059372,-122.8481295,65,213,09/10/1979,05/17/2019
1518692,Devil Lake,Lake,WA,53,Chelan,007,475725N,1203634W,47.9568075,-120.6095683,1779,5837,09/10/1979,05/04/2019
1518714,Devils Lake,Lake,WA,53,Jefferson,031,474730N,1225258W,47.7916015,-122.8826777,258,846,09/10/1979,05/17/2019
1518723,Devils Slide Lake,Lake,WA,53,Kittitas,037,465839N,1210011W,46.9775866,-121.0030722,1340,4396,09/10/1979,03/19/2019
1518737,Dewey Lake,Lake,WA,53,Yakima,077,465121N,1212856W,46.8559606,-121.482088,1559,5115,09/10/1979,03/19/2019
1518739,Dezellem Lake,Lake,WA,53,Douglas,017,475917N,1194514W,47.9881376,-119.7539551,813,2667,09/10/1979,05/03/2019
1518742,Diablo Lake,Reservoir,WA,53,Whatcom,073,484246N,1210658W,48.7127902,-121.1162005,367,1204,09/10/1979,04/22/2019
1518751,Diamond Lake,Lake,WA,53,Yakima,077,462739N,1211633W,46.4608899,-121.2758906,1750,5741,09/10/1979,03/14/2019
1518752,Diamond Lake,Lake,WA,53,Kittitas,037,472634N,1210942W,47.4427846,-121.1616367,1509,4951,09/10/1979,03/19/2019
1518753,Diamond Lake,Lake,WA,53,Snohomish,061,481055N,1211440W,48.1819214,-121.2445418,1602,5256,09/10/1979,05/14/2019
1518754,Diamond Lake,Lake,WA,53,Pend Oreille,051,480741N,1171204W,48.1280866,-117.2011458,714,2342,09/10/1979,05/14/2019
1518761,Dibble Lake,Lake,WA,53,Okanogan,047,482558N,1201014W,48.4329054,-120.1706228,562,1844,09/10/1979,05/04/2019
1518769,Dickey Lake,Lake,WA,53,Clallam,009,480639N,1243028W,48.110755,-124.5077465,60,197,09/10/1979,04/09/2019
